category,group,question,phrase
การปกครองส่วนท้องถิ่น,1,สิทธิชุมชนและการถ่วงดุลอำนาจในระดับท้องถิ่นควรเป็นอย่างไร?,การส่งเสริมสิทธิชุมชนและการถ่วงดุลอำนาจ
การปกครองส่วนท้องถิ่น,2,การจัดสรรงบประมาณให้ท้องถิ่นควรเป็นสัดส่วนเท่าใด?,ความเป็นอิสระทางการคลังของท้องถิ่น
องค์กรอิสระ,0,องค์กรอิสระควรยึดโยงกับประชาชนและปกป้องรัฐธรรมนูญอย่างไร?,ความยึดโยงขององค์กรอิสระกับประชาชน
องค์กรอิสระ,1,กลไกการตรวจสอบรัฐบาลควรมีความโปร่งใสและถ่วงดุลอย่างไร?,ความโปร่งใสและประสิทธิภาพของกลไกตรวจสอบ
องค์กรอิสระ,2,ควรจัดการอย่างไรกับความไม่ไว้วางใจต่อองค์กรจัดการเลือกตั้ง?,การปฏิรูปองค์กรจัดการเลือกตั้งให้โปร่งใส
การศึกษา,0,รัฐควรจัดสวัสดิการการศึกษาที่เท่าเทียมและทั่วถึงอย่างไร?,สิทธิการศึกษาที่เท่าเทียมและมีคุณภาพ
การศึกษา,1,การจัดเวลาเรียนควรคำนึงถึงบริบทสภาพแวดล้อมและความปลอดภัยอย่างไร?,การปรับปรุงปฏิทินการศึกษาตามสภาพแวดล้อม
สาธารณสุข,0,ระบบสาธารณสุขควรถูกพัฒนาให้ครอบคลุมและมีคุณภาพอย่างไร?,การเข้าถึงบริการสาธารณสุขที่มีประสิทธิภาพ
สาธารณสุข,1,สิทธิการรักษาพยาบาลของผู้ต้องขังควรได้รับการดูแลอย่างไร?,สิทธิด้านสุขภาพของผู้ต้องขัง
การเลือกตั้งและประชามติ,0,ระบบการเลือกตั้ง สสร. ควรเป็นอย่างไรเพื่อให้สะท้อนเจตจำนงประชาชน?,รูปแบบและวิธีการเลือกตั้ง สสร. ที่หลากหลาย
การเลือกตั้งและประชามติ,1,การเลือกตั้ง สสร. แบบบัญชีรายชื่อ 100% มีข้อดีอย่างไร?,ระบบเลือกตั้ง สสร. แบบบัญชีรายชื่อ
สิ่งแวดล้อม,0,รัฐควรมีมาตรการจัดการมลพิษและพลังงานสะอาดอย่างไร?,การจัดการสิ่งแวดล้อมและพลังงานสะอาด
สิ่งแวดล้อม,1,ควรใช้มาตรการทางภาษีอย่างไรเพื่อลดการปล่อยก๊าซเรือนกระจก?,มาตรการทางเศรษฐศาสตร์เพื่อสิ่งแวดล้อม
การเกษตร,0,รัฐควรสนับสนุนภาคการเกษตรและเทคโนโลยีอย่างไร?,การพัฒนาเทคโนโลยีและภาคการเกษตร
การเกษตร,1,รัฐควรสนับสนุนเกษตรกรวัยเกษียณอย่างไร?,การส่งเสริมเกษตรกรรมยั่งยืนหลังเกษียณ
อื่น ๆ,0,รัฐธรรมนูญควรมีกลไกป้องกันการทุจริตและการรัฐประหารอย่างไร?,การปกป้องประชาธิปไตยและต่อต้านการทุจริต
อื่น ๆ,1,รัฐธรรมนูญควรเปิดกว้างและโอบรับความหลากหลายของทุกคนอย่างไร?,รัฐธรรมนูญที่ยืดหยุ่นและโอบรับความฝันของทุกคน
เศรษฐกิจ,0,การพัฒนาเทคโนโลยีและวิทยาศาสตร์จะช่วยสร้างรายได้ให้ประเทศอย่างไร?,การขับเคลื่อนเศรษฐกิจด้วยเทคโนโลยีและนวัตกรรม
เศรษฐกิจ,1,รัฐควรมีมาตรการอย่างไรเพื่อลดการผูกขาดของกลุ่มทุน?,การป้องกันการผูกขาดและสร้างความเป็นธรรมทางเศรษฐกิจ
เศรษฐกิจ,2,รัฐธรรมนูญควรวางรากฐานความมั่นคงทางเศรษฐกิจอย่างไร?,การสร้างเสถียรภาพและความมั่นคงทางเศรษฐกิจ
การแก้ รธน.,0,กลไกการแก้ไขรัฐธรรมนูญควรเป็นอย่างไรเพื่อให้ยึดโยงกับประชาชน?,การแก้ไขรัฐธรรมนูญที่ง่ายและยึดโยงประชาชน
การแก้ รธน.,1,ควรปรับปรุงถ้อยคำในรัฐธรรมนูญอย่างไรให้ชัดเจนและไม่ซับซ้อน?,การปรับปรุงถ้อยคำและเนื้อหาในรัฐธรรมนูญ
